,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,1172.31,35.0,0.0,1.0,1.0,25.68808,39.89676,17.31467,27.555640000000004,24.63627,36.26869,27.72144,8.8167,24.61164,23.56901,32.08547,30.12403,6.53275,3.77178,11.67109,43.06866,10.74806,31.18358,12.95042,41.60243,24.39191,5.2602400000000005,1.24012,3.0,-2.0,2.0,0.015399239957332611,0.24114540219306946,0.7399033308029175,0.001989218173548579,3.395130761418841e-06,0.00033100717701017857,0.0012282783864066005
1,1171.43,35.0,2.0,1.0,1.0,22.70551,44.87824000000001,17.16254,24.81495,25.06133,32.47767,29.43495,12.4947,19.04284,26.91567,40.09372000000001,38.02117,4.44461,0.24016,19.14579,53.09201,21.74409,41.82968,23.93229,53.2486,22.28478,1.95878,4.97606,3.0,-2.0,0.0,0.9998784065246582,3.152312899601384e-07,6.521405884996057e-05,9.81151606538333e-06,2.095915624522604e-05,2.0978284283046378e-06,2.321067040611524e-05
2,1171.27,35.0,0.0,0.0,1.0,21.778,45.7283,17.19797,24.7241,25.35119,31.86193,29.5818,13.22894,18.07887,27.86403,41.6263,39.7716,4.6627800000000015,0.50467,21.02391,54.85475,24.40254,43.85041,26.52183,55.46375,20.08151,3.83825,5.2256800000000005,2.0,-2.0,1.0,0.001328310463577509,0.9237443208694458,0.07458583265542984,0.0001654889783822,1.9758516600631992e-08,2.414909249637276e-05,0.00015204861119855195
3,1170.48,34.8,1.0,0.0,1.0,16.65165,48.30841,18.20091,24.98042,26.8949,30.13516,28.92031,16.007279999999998,14.44445,32.51413,49.72836,48.87308,9.19691,6.39092,32.2887,61.51524000000001,39.06779,53.57474000000001,39.89205,65.84816,19.21692,10.19978,1.55866,2.0,-2.0,1.0,0.0013512467266991735,0.9605201482772827,0.03781607002019882,5.853789480170235e-05,2.846257629585125e-08,5.3459305490832776e-05,0.00020059203961864114
4,1169.76,34.08,1.0,0.0,1.0,12.17082,49.10005,19.57834,25.47191,28.49851,29.88111,27.24056,17.2139,13.53084,36.21836,57.20928000000001,56.83245,16.983710000000002,14.76442,43.45317,66.08918,52.48489,61.5698,51.60754,73.789,20.45439,19.12039,1.46968,2.0,-2.0,1.0,0.0006751756882295012,0.9704934358596802,0.028709666803479195,2.056222001556307e-05,5.601108021835444e-09,1.786970824468881e-05,8.315232116729021e-05
5,1168.73,33.04,1.0,0.0,1.0,7.84872,48.55928,20.42207,26.3909,30.70988,29.69411,24.8979,17.44865,13.15948,39.62674000000001,67.16317,65.90284,31.74373,27.87986,59.54919,70.01267,69.02032,69.01397,66.0134,79.60195,20.65661,33.89829,1.03956,2.0,-2.0,1.0,0.004058298654854298,0.9062014818191528,0.08889515697956085,0.00018853996880352497,2.2861698312226508e-07,7.987519347807392e-05,0.0005763279623351991
6,1167.65,31.96,1.0,0.0,1.0,4.3719199999999985,46.96143,24.26739,27.2085,32.23486,29.4816,24.419970000000006,18.83715,13.16683,39.76039,73.41211,70.2309,46.3937,42.07906,73.60721,70.53746,79.82977,70.49303,74.75249000000002,77.47293,26.31101,47.37658,0.66192,2.0,-2.0,2.0,0.017743874341249466,0.6814179420471191,0.29526302218437195,0.002112070331349969,6.401741302397568e-06,0.0003581735072657466,0.0030985791236162186
7,1167.1,31.39,2.0,0.0,1.0,3.70212,46.36495,28.68001,26.79215,32.91879,31.38754,26.06785,20.95715,12.82773,39.45562,74.88583,67.99385,52.566280000000006,49.17783,79.59352,70.70181,81.95218,70.13538,76.22827,74.47713,31.05053,53.65068,5.10044,2.0,-2.0,0.0,0.999913215637207,2.0049151316925418e-07,1.570024323882535e-05,6.287363248702604e-06,3.958394881919958e-05,1.082652602235612e-06,2.3797969333827496e-05
8,1166.7,30.99,0.0,0.0,1.0,3.42064,45.61597,31.55358,26.01373,32.96593,33.35586,28.08162,22.68854,13.126729999999998,38.98789,75.76655,65.66325,55.40152,54.14571,83.28486,70.30431999999999,82.36126999999998,70.35526,76.93406,73.76769,43.32018,63.34822,4.60416,1.0,-2.0,1.0,0.006826096214354038,0.5363150238990784,0.44966453313827515,0.005293721333146095,1.518862745797378e-06,0.00017460811068303883,0.0017246979987248778
9,1165.78,30.07,1.0,0.0,1.0,3.65335,45.1449,32.957640000000005,23.68235,32.961890000000004,38.38697,30.48897,24.72763,14.17594,38.91062,74.89928,65.99048,57.13163,65.22171999999999,88.51222,68.87789000000001,83.64661,71.29791,78.08037,78.43009,45.39537,67.61916,1.59471,1.0,-2.0,2.0,0.01235593669116497,0.5335912704467773,0.4420454502105713,0.006820951588451862,4.561790774459951e-06,0.0006166631355881691,0.004565150942653418
