,game.clock,shot.clock,event.descrip_0,event.descrip_1,event.descrip_2,event.descrip_3,event.descrip_4,event.descrip_5,event.descrip_6,position_0,position_1,position_2,position_3,position_4,home,p1_x,p2_x,p3_x,p4_x,p5_x,p6_x,p7_x,p8_x,p9_x,p10_x,p1_y,p2_y,p3_y,p4_y,p5_y,p6_y,p7_y,p8_y,p9_y,p10_y,ball_x,ball_y,ball_z,p.poss_0,p.poss_1,p.poss_2,p.poss_3,p.poss_4,p.poss_5,p.poss_6,p.poss_7,p.poss_8,p.poss_9,score_difference,label,prediction
2642,0.22562976403455962,0.3677662037037037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.6006331822287946,0.5016862277080967,0.632727065808067,0.8032891767223922,0.21076511542482923,0.5855590827044238,0.35599937645151597,0.5740937255013564,0.46774687789141667,0.7083212448636441,0.46604611604140483,0.19942312191143013,0.1383646914460133,0.23451674488192656,0.2149123559856575,0.3795177688397004,0.2107960682359153,0.17463055009401857,0.1781604397747828,0.2626797788169252,0.5715376172010306,0.4562797933860426,0.11123733581720342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,1
2643,0.22505320456838585,0.3480902777777778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.5729356513749468,0.5503952144578929,0.6576502944718948,0.8549625588698029,0.14092744721922268,0.5510620493216067,0.3484764645971154,0.5836508709002233,0.5300134641957981,0.710873454118537,0.45335116780741164,0.2924904405721372,0.11004481107158337,0.19351376072501938,0.1903058624378393,0.373869051285023,0.20166866347990525,0.15912003817204104,0.22105339096072907,0.237998570000561,0.5451087448259727,0.43975035427408843,0.0696310611435378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,1
2644,0.2245359968119653,0.33072916666666663,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.5614838611000731,0.5601570251165088,0.6597206073423556,0.8709106516014483,0.08261306044217237,0.5210885010875684,0.33398146991106914,0.5966554597795871,0.526663820447164,0.7048361838243342,0.41888214141315444,0.33931590312008963,0.08794414146503897,0.17258793861191601,0.1660514967995809,0.3542304236001973,0.1909752386608215,0.14670729000201777,0.27495415668160594,0.2122792602168996,0.5577505079206373,0.4051364549293828,0.08572180945292471,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,1
2645,0.22399335260850758,0.31221064814814814,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.6081161263808478,0.5431873265045498,0.6655550392155003,0.895250655111583,0.05217294707309607,0.4925428374635766,0.3353857077839497,0.5885755269185386,0.6037573279049685,0.6825914097245024,0.35513400034798165,0.3367740372771106,0.06804199370801345,0.14588273942011976,0.1407422531107058,0.3475000723122425,0.17011576523468291,0.13535928977973716,0.28757225665515757,0.1987945948314447,0.6301325117646576,0.33786179995236193,0.0627140923355488,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,1
2646,0.22321330156603725,0.28587962962962965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.5257407727215228,0.5160085178499745,0.6607932247754712,0.9244289723500462,0.04342986801741022,0.4557664812785378,0.3992870985227502,0.5766212637937151,0.6115152977007067,0.6866455740281965,0.2536052243110537,0.28837962780856713,0.05958841777816416,0.09663998641822806,0.13053506076766094,0.27739714100021506,0.13019112873181515,0.12827057851503273,0.22463175845297012,0.18213829552420818,0.5019791311563957,0.2497828918080751,0.03136683946393673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1
2647,0.22297589472702448,0.27777777777777773,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.4916724837536073,0.520364025438967,0.6610887398879014,0.9264089019668723,0.04107643777404163,0.4424390030863478,0.40709712687080235,0.5687161804832276,0.5796975596816237,0.6811495487966251,0.21728042882504353,0.2590707428715755,0.06015121719235374,0.08640148163325222,0.1253244108858918,0.24539872773742177,0.1198172077112252,0.12426378211665237,0.1948384176038343,0.16744445750317674,0.44040114534618574,0.21197594872841236,0.26827102620686055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0
2648,0.2225604327587522,0.26359953703703703,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.44421269244590933,0.5201695053693345,0.6549889513765732,0.9246344975525742,0.03774731141152224,0.3756265500671935,0.33641736289978463,0.5578087625012822,0.5346528550120275,0.6692033549234396,0.17398353717844728,0.21206185524324528,0.0641092298212795,0.08332230449839002,0.11512384352632213,0.200879671051117,0.09951301834335537,0.11129671917171347,0.14974540854433568,0.13995802140822183,0.14487550803487947,0.15412827136157262,0.27964793463011084,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22,3,-1
2649,0.22191604276714624,0.24160879629629625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.40999573941462486,0.5521029264721878,0.6219007425812999,0.834133610902854,0.04107925833209121,0.26882092927973994,0.1368013968823412,0.5666644622792806,0.48831760787115575,0.6342466843765235,0.1331510335004609,0.1797497469106538,0.0879952330374742,0.09831463013501802,0.09823957124713004,0.1733199504852988,0.07412518905770286,0.09346929828167373,0.11597255862506567,0.12199140116603102,0.11403524324897388,0.13439886381864355,0.6587972091282226,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22,4,-1
2655,0.21647264310121156,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.3602616487515292,0.601022691685496,0.7171480325863265,0.33656188380422725,0.5030484808365862,0.5087688325877466,0.2654007490104512,0.49721766045978055,0.35395304692305046,0.4348655344297526,0.37658402684543685,0.567853926559579,0.3403661146829556,0.7007219028849125,0.8809087951574182,0.8310809627543743,0.40938183812772017,0.1388693226691465,0.37328571675110245,0.9718523120167045,0.47626093640184725,0.8992145592397784,0.2523413232121431,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20,1,-1
2656,0.21588760481935879,0.9999999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.3745356343847682,0.6410589866143094,0.7230012423773983,0.329924119579572,0.5128173751583037,0.5043284371473545,0.31153957547715877,0.50764147816254,0.3618537916794014,0.468640818235183,0.4544947211984129,0.6034070277062964,0.40111637066064476,0.7443752189253005,0.9168726183309881,0.8640801380996577,0.39038962534024224,0.1688071742358138,0.3588122115603425,0.9641054579540441,0.45724117068052683,0.8868914460937553,0.09826303197547467,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20,2,-1
